support,time
1,8852.686014000028
2,5.7316899999477755
3,4.726245999904677
4,4.298559000062596
5,4.313937000006263
6,4.310293999992609
7,4.331272000058561
8,4.3431080000573274
9,4.335563000040565
10,4.3109790000244175
11,5.268646999979865
12,4.495163999990837
13,4.465637000066636
14,4.63441400006559
