support,time
24,1624.8754430000076
25,1611.4777220000037
26,1563.7556220000022
27,1565.7155349999953
28,1582.8294940000092
29,1584.2429229999907
30,1577.1298980000097
31,1594.9353610000117
32,1623.1574230000092
33,1575.1247210000088
34,1553.0169020000244
35,1565.6088650000015
36,1558.5257060000117
37,1582.2948569999937
38,1617.521628999981
39,1602.8383510000026
40,1578.0083639999987
41,1560.7952919999946
42,1591.7608769999845
43,1572.3665659999995
44,1580.2494739999986
45,1573.9655440000035
46,1572.5810769999953
47,1563.625602000002
48,1579.8338680000086
49,1567.844053000016
50,1548.3850080000252
51,1568.6024020000104
52,1590.0648139999873
53,1583.9487149999911
54,1572.9100549999941
55,1583.6855210000067
56,1573.0731640000215
57,1586.2090150000085
58,1564.7096800000213
59,1577.0865620000052
60,1566.174167000014
61,1559.173778999991
62,1564.4485970000233
63,1614.424151999998
64,1549.3508680000048
65,1580.1332209999828
66,1604.181495000006
67,1539.3199259999903
68,1574.0718479999884
69,1568.5003380000069
70,1558.120711000015
71,1557.3771130000011
72,1562.05669900001
73,1599.4324979999988
74,1578.506071000021
75,1562.470463000011
76,1580.7167419999928
77,1591.314299000004
78,1583.9783090000026
79,1604.5457929999998
80,1594.3710519999854
81,1570.8024340000009
82,1567.7052069999888
83,1551.777721999997
84,1573.9709190000042
85,1577.4923200000046
86,1556.8714819999911
87,1563.2196349999958
88,1590.6130600000097
89,1566.9119209999849
90,1567.8392000000088
91,1566.2943380000058
92,1578.668996999994
93,1592.38972899999
94,1584.421094000021
95,1582.0324999999968
96,1585.6076149999865
97,1583.9790109999967
98,1567.182086999992
99,1567.8448340000273
100,1580.2083360000267
101,1594.0110660000073
102,1616.0201950000044
103,1565.611294000007
104,1588.3622160000073
105,1570.1693329999955
106,1574.552261000008
107,1608.761917999999
108,1606.3443930000005
109,1577.9912000000138
110,1570.5671759999973
111,1561.4295389999597
112,1593.9519190000055
113,1575.494749000029
114,1580.656562999991
115,1582.5071160000448
116,1578.9853759999914
117,1572.217701999989
118,1586.046988000021
119,1572.8634789999774
120,1575.1830949999999
121,1573.0157109999823
122,1616.7208620000224
123,1597.6869240000156
124,1574.6583640000154
125,1563.045973000044
126,1570.3880579999918
127,1541.2598579999894
128,1561.7458610000199
129,1561.5016400000172
130,1563.8237819999858
131,1565.745167999978
132,1578.6007620000078
133,1562.2407920000114
134,1556.0984809999923
135,1567.909880000002
136,1579.9202520000222
137,1563.6868450000065
138,1582.430104000025
139,1559.7746230000098
140,1572.8572090000057
141,1567.9336069999863
142,1567.970699
