support,time
1,52175.401229
2,139.84518399999502
3,83.86302000000967
4,64.07651100001033
5,63.10964600000091
6,61.07747100000438
7,67.93585000001201
8,60.787152000003175
9,69.35509400000228
10,62.67589499999815
11,69.6052509999987
12,65.59942100000171
13,66.09232200000292
14,60.90951400000222
15,74.28400599999918
16,68.24033599998813
17,60.997672999988595
18,62.11584399999026
19,69.22409300000254
20,65.12130999999499
21,61.79530200000727
22,62.86237999999855
23,73.63235100000054
24,69.46790800000713
25,63.29707999999812
26,61.32643200000132
27,71.18570699999793
28,62.60592900000006
29,61.46755999999698
30,62.57504899998878
31,73.5379350000045
32,67.1313800000064
33,63.692724999995676
34,61.19807000000321
35,68.00024799998994
36,66.47176900000318
37,60.93435700000782
38,63.32640600000161
39,72.69966399999817
40,62.80350100000476
41,66.07745899999884
42,61.39125800000045
43,72.29443199999253
44,69.25585499999443
45,68.47714799999949
46,62.21343100000354
47,74.52834500000449
48,62.28182499999946
49,61.164853999997604
50,63.112464999989015
51,68.86877899999888
52,65.0671100000011
53,62.079681000000164
54,67.38682200000312
55,68.67889099999047
56,64.95769800000062
57,61.14592400000163
58,63.30123700000456
59,70.75439999999844
60,63.363725999991516
61,66.16220099999737
62,66.88714499999548
63,69.28090300000633
64,64.37479100000587
65,63.13820999999109
66,61.272907000002874
67,67.96887699999843
68,68.13977599999532
69,66.18709999999339
70,69.68828099999769
71,66.75852899999768
72,69.20428000000811
73,62.95582200000638
74,69.65007699999148
75,62.390523000004805
76,66.73738399999252
77,63.12228000000175
78,68.73329300000819
79,68.11864099999809
80,62.45848599999704
81,62.61628200000757
82,74.5546759999911
83,67.44824000000449
84,67.36642900000334
85,73.6721269999947
86,68.51895900000216
87,61.40502600000275
88,62.05440099999748
89,72.24879599999667
90,62.213266000000544
91,68.10411300000396
92,65.67190100000175
93,72.3437099999984
94,67.9626299999967
95,64.99672900000064
96,62.73991700000181
