support,time
4,56578.9534270001
5,26599.024776999955
6,25043.12378000009
7,25121.167546999914
8,3412.949182000034
9,3327.6154989999895
10,3248.736120999979
11,3217.710393999937
12,3201.4578380000103
13,3184.7826369998984
14,3185.959122999975
15,3179.104986000084
16,3185.1505470000347
17,3162.884939000037
18,3157.116237000082
19,3162.2042299999293
20,3161.042547999955
21,3134.7558910000544
22,3149.3667109999706
23,3148.390090000021
24,3166.613276000021
25,3132.146008999939
26,3149.6273059999567
27,3129.855068999973
28,3162.433151000073
29,3161.4320020000832
30,3119.957142999965
31,3133.2786389999683
32,3163.0649580000636
33,3165.7848159999276
34,3141.730475000031
35,3155.8183309999777
36,3162.7931130000206
37,3151.4650520000487
38,3132.7990889999455
39,3130.030953999949
40,3168.566922000082
41,3148.9318969998976
42,3134.2799379999633
43,3125.4428240000607
44,3169.452107999973
45,3160.714655999982
46,3130.8897199999137
47,3141.5319230000023
48,3155.592732000059
49,3127.2830359999944
50,3126.50440099992
51,3145.756913000014
52,3140.8828589999302
53,3167.4431970000114
54,3133.2496589999437
55,3149.7548989999586
56,3159.723285000041
57,3167.273053000031
58,3133.0963340000153
59,3179.8444259999314
60,3153.6202779999485
61,3126.2122269999963
62,3135.874602000058
63,3146.624220000035
64,3153.192833999924
65,3156.3873799999556
66,3134.9496329999056
67,3145.9652480000386
68,3134.8560829999315
69,3172.4190800000542
70,3164.054295000028
71,3129.918855999904
72,3155.202079999981
73,3154.372498999919
74,3140.878325000017
75,3149.7293319999926
76,3148.787557999981
77,3129.9311550000084
78,3148.0643399999053
79,3155.680109000059
80,3141.085289999978
81,3142.843499000037
82,3159.431527000038
83,3137.154614999986
84,3138.072854000029
85,3141.9313199999124
86,3158.600232000026
87,3159.962399999813
88,3126.2585120000494
89,3121.9068399998378
90,3136.0547770000267
91,3139.9248889999853
92,3140.715135999926
93,3112.9609399999936
94,3149.621829000125
95,3143.1609609999214
96,3148.6462850000407
97,3162.46303600019
98,3169.9041809999926
99,3159.3565489999946
100,3157.0537350000905
101,3160.540688999845
102,3161.4066199999797
103,3122.044353999854
104,3166.766005999989
105,3153.277765999974
106,3163.84774800008
107,3133.2937740000943
108,3135.2996309999526
109,3132.069824999917
110,3145.7266459999573
111,3127.840957999979
112,3143.260464999912
113,3136.0300110000026
114,3174.4523859999845
115,3140.64511499987
116,3134.637550999969
117,3136.6437830001814
118,3146.2997179999093
119,3125.017244999981
120,3146.923673000174
121,3114.9329540000963
122,3171.774830000004
123,3122.6394560001154
124,3137.9129920001105
125,3133.776680999972
126,3150.9205669999574
127,3145.652990000144
128,3131.1657090000153
129,3135.432762999926
130,3152.3426989999734
131,3150.595179999982
132,3154.276170000003
133,3142.665448999878
134,3147.2395440000582
135,3151.7786889999115
136,3171.483594999927
137,3128.724489999968
138,3130.3783719999956
139,3142.5990540001294
140,3128.413435000084
141,3147.467703000075
142,3144.231727000033
143,3176.394244999983
144,3147.388704999912
145,3130.3042819999973
146,3115.91043899989
147,3133.6036769998827
148,3123.422062999907
149,3128.660813999886
150,3123.261611999851
151,3171.4385600000696
152,3165.605250999988
153,3184.8381600000266
154,3141.602287999831
155,3172.8919170000154
156,3152.0592519998445
157,3126.9654430000173
158,3137.4570779998976
159,3143.685178999931
160,3139.837850000049
161,3124.522074000197
162,3145.6863959999737
163,3146.7586940000274
164,3127.13018799991
165,3155.085361999909
166,3155.507958000044
167,3129.412823000166
168,3133.465655000009
169,3132.6459309998427
170,3171.913522000068
171,3140.3001529999983
172,3171.775311999909
173,3159.8560610000277
174,3133.806080000113
